community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	iECSF_1327	iNRG857_1313	M_g3pg_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iUMNK88_1353	M_g3pg_e	0.5	1.0	1	0.5
all	minimal	iECSF_1327	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iNRG857_1313	M_adn_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_adn_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iEcSMS35_1347	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_cytd_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iNRG857_1313	M_g3pe_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_cytd_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iEC1356_Bl21DE3	iUMNK88_1353	M_g3pe_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_adn_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iNRG857_1313	M_pi_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_adn_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iECUMN_1333	iUMNK88_1353	M_pi_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_g3pg_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iNRG857_1313	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_g3pg_e	0.5	1.0	1	0.5
all	minimal	iETEC_1333	iUMNK88_1353	M_gthrd_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iNRG857_1313	M_g3pe_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_cu2_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_fe2_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_fe3_e	0.5	1.0	1	0.5
all	minimal	iUTI89_1310	iUMNK88_1353	M_g3pe_e	0.5	1.0	1	0.5
